tiempo(s),Numero_joints,G-parcial(N)
10.677,7.000,672.010
10.688,7.000,671.977
10.699,7.000,671.946
10.710,7.000,671.905
10.721,7.000,671.863
10.732,7.000,671.828
10.743,7.000,671.797
10.754,7.000,671.766
10.765,7.000,671.734
10.776,7.000,671.700
10.787,7.000,671.667
10.797,7.000,671.647
10.808,7.000,671.600
10.819,7.000,671.559
10.830,7.000,671.525
10.841,7.000,671.493
10.852,7.000,671.463
10.863,7.000,671.434
10.874,7.000,671.404
10.885,7.000,671.375
10.896,7.000,671.346
10.907,7.000,671.322
10.918,7.000,671.296
10.929,7.000,671.268
10.940,7.000,671.239
10.951,7.000,671.211
10.962,7.000,671.183
10.973,7.000,671.155
10.984,7.000,671.128
10.995,7.000,671.100
11.006,7.000,671.073
11.017,7.000,374.834
11.028,7.000,133.288
11.038,7.000,112.173
11.049,7.000,96.446
11.060,7.000,83.846
11.071,7.000,73.631
11.081,7.000,65.371
11.092,7.000,58.658
11.103,7.000,55.845
11.114,7.000,48.842
11.124,7.000,45.251
11.135,7.000,42.232
11.146,7.000,40.239
11.157,7.000,38.382
11.167,7.000,36.901
11.178,7.000,35.698
11.189,7.000,34.720
11.200,7.000,33.926
11.211,7.000,33.280
11.222,7.000,32.754
11.232,7.000,32.326
11.243,7.000,31.977
11.254,7.000,31.692
11.265,7.000,31.459
11.276,7.000,31.269
11.286,7.000,31.112
11.297,7.000,30.983
11.308,7.000,30.877
11.319,7.000,30.789
11.330,7.000,30.715
11.341,7.000,30.654
11.352,7.000,57.995
11.362,7.000,41.537
11.373,7.000,42.216
11.384,7.000,59.810
11.395,7.000,35.143
11.406,7.000,29.638
11.417,7.000,30.211
11.428,7.000,30.387
11.439,7.000,30.401
11.450,7.000,30.390
11.460,7.000,30.376
11.471,7.000,30.362
11.482,7.000,30.349
11.493,7.000,30.336
11.504,7.000,30.324
11.514,7.000,30.312
11.525,7.000,30.300
11.536,7.000,30.288
11.547,7.000,30.276
11.557,7.000,30.266
11.568,7.000,30.259
11.579,7.000,30.254
11.589,7.000,30.248
11.600,7.000,31.393
11.611,7.000,29.962
11.622,7.000,30.172
11.633,7.000,30.206
11.643,7.000,30.206
11.654,7.000,30.199
11.665,7.000,29.638
11.676,7.000,33.968
11.686,7.000,30.399
11.697,7.000,30.233
11.708,7.000,30.707
11.719,7.000,30.703
11.730,7.000,30.698
11.741,7.000,30.694
11.751,7.000,30.687
11.762,7.000,30.931
11.773,7.000,30.714
11.784,7.000,30.664
11.795,7.000,30.650
11.806,7.000,30.640
11.816,7.000,30.631
11.827,7.000,30.622
11.838,7.000,30.613
11.849,7.000,30.605
11.860,7.000,30.597
11.871,7.000,31.113
11.882,7.000,30.667
11.893,7.000,30.591
11.904,7.000,30.514
11.914,7.000,30.555
11.925,7.000,30.284
11.936,7.000,31.028
11.947,7.000,30.638
11.958,7.000,30.568
11.969,7.000,29.873
11.979,7.000,31.097
11.990,7.000,30.960
12.001,7.000,30.588
12.011,7.000,30.531
12.022,7.000,531.088
12.033,7.000,411.086
12.043,7.000,296.114
12.054,7.000,294.517
12.064,7.000,293.833
12.075,7.000,293.215
12.086,7.000,292.589
12.096,7.000,291.975
12.107,7.000,291.372
12.117,7.000,291.025
12.128,7.000,291.175
12.139,7.000,291.307
12.149,7.000,291.483
12.160,7.000,291.608
12.171,7.000,291.730
12.181,7.000,291.866
12.192,7.000,292.016
12.202,7.000,292.134
12.213,7.000,292.267
